Age;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;Explicar
34;Travel_Rarely;810;Sales;8;2;Technical Degree;2;Male;92;4;2;Sales Executive;3;Married;6799;22128;1;No;21;4;3;2;10;5;3;10;8;4;8;0
45;Non-Travel;336;Sales;26;3;Marketing;1;Male;52;2;2;Sales Executive;1;Married;4385;24162;1;No;15;3;1;1;10;2;3;10;7;4;5;0
39;Travel_Rarely;903;Sales;2;5;Life Sciences;1;Male;41;4;3;Sales Executive;3;Single;7880;2560;0;No;18;3;4;0;9;3;3;8;7;0;7;0
24;Travel_Rarely;823;Research & Development;17;2;Other;4;Male;94;2;1;Laboratory Technician;2;Married;2127;9100;1;No;21;4;4;1;1;2;3;1;0;0;0;0
29;Non-Travel;1496;Research & Development;1;1;Technical Degree;4;Male;41;3;2;Manufacturing Director;3;Married;4319;26283;1;No;13;3;1;1;10;1;3;10;7;0;9;0
36;Travel_Frequently;469;Research & Development;3;3;Technical Degree;3;Male;46;3;1;Research Scientist;2;Married;3692;9256;1;No;12;3;3;0;12;2;2;11;10;0;7;0
35;Travel_Rarely;1219;Sales;18;3;Medical;3;Female;86;3;2;Sales Executive;3;Married;4601;6179;1;No;16;3;2;0;5;3;3;5;2;1;0;0
44;Travel_Rarely;170;Research & Development;1;4;Life Sciences;2;Male;78;4;2;Healthcare Representative;1;Married;5033;9364;2;No;15;3;4;1;10;5;3;2;0;2;2;0
33;Travel_Rarely;603;Sales;9;4;Marketing;1;Female;77;3;2;Sales Executive;1;Single;8224;18385;0;Yes;17;3;1;0;6;3;3;5;2;0;3;0
34;Travel_Rarely;665;Research & Development;6;4;Other;1;Female;41;3;2;Research Scientist;3;Single;4809;12482;1;No;14;3;3;0;16;3;3;16;13;2;10;0
38;Travel_Rarely;1380;Research & Development;9;2;Life Sciences;3;Female;75;3;1;Laboratory Technician;4;Single;2288;6319;1;No;12;3;3;0;2;3;3;2;2;2;1;0
29;Travel_Rarely;1247;Sales;20;2;Marketing;4;Male;45;3;2;Sales Executive;4;Divorced;6931;10732;2;No;14;3;4;1;10;2;3;3;2;0;2;0
44;Non-Travel;489;Research & Development;23;3;Medical;2;Male;67;3;2;Laboratory Technician;2;Married;2042;25043;4;No;12;3;3;1;17;3;4;3;2;1;2;0
36;Travel_Rarely;1425;Research & Development;14;1;Life Sciences;3;Male;68;3;2;Healthcare Representative;4;Married;6586;4821;0;Yes;17;3;1;1;17;2;2;16;8;4;11;0
30;Travel_Rarely;317;Research & Development;2;3;Life Sciences;3;Female;43;1;2;Manufacturing Director;4;Single;6091;24793;2;No;20;4;3;0;11;2;3;5;4;0;2;0
56;Travel_Rarely;1162;Research & Development;24;2;Life Sciences;1;Male;97;3;1;Laboratory Technician;4;Single;2587;10261;1;No;16;3;4;0;5;3;3;4;2;1;0;0
31;Travel_Rarely;192;Research & Development;2;4;Life Sciences;3;Male;32;3;1;Research Scientist;4;Divorced;2695;7747;0;Yes;18;3;2;1;3;2;1;2;2;2;2;0
44;Non-Travel;111;Research & Development;17;3;Life Sciences;4;Male;74;1;1;Research Scientist;3;Single;2290;4279;2;No;13;3;4;0;6;3;3;0;0;0;0;0
50;Travel_Frequently;959;Sales;1;4;Other;4;Male;81;3;2;Sales Executive;3;Single;4728;17251;3;Yes;14;3;4;0;5;4;3;0;0;0;0;0
22;Travel_Rarely;253;Research & Development;11;3;Medical;1;Female;43;3;1;Research Scientist;2;Married;2244;24440;1;No;13;3;4;1;2;1;3;2;1;1;2;0
22;Travel_Rarely;581;Research & Development;1;2;Life Sciences;4;Male;63;3;1;Research Scientist;3;Single;3375;17624;0;No;12;3;4;0;4;2;4;3;2;1;2;0
38;Non-Travel;152;Sales;10;3;Technical Degree;3;Female;85;3;2;Sales Executive;4;Single;5666;19899;1;Yes;13;3;2;0;6;1;3;5;3;1;3;0
33;Travel_Rarely;1075;Human Resources;3;2;Human Resources;4;Male;57;3;1;Human Resources;2;Divorced;2277;22650;3;Yes;11;3;3;1;7;4;4;4;3;0;3;0
56;Non-Travel;667;Research & Development;1;4;Life Sciences;3;Male;57;3;2;Healthcare Representative;3;Divorced;6306;26236;1;No;21;4;1;1;13;2;2;13;12;1;9;0
26;Travel_Rarely;1167;Sales;5;3;Other;4;Female;30;2;1;Sales Representative;3;Single;2966;21378;0;No;18;3;4;0;5;2;3;4;2;0;0;0
33;Travel_Frequently;508;Sales;10;3;Marketing;2;Male;46;2;2;Sales Executive;4;Single;4682;4317;3;No;14;3;3;0;9;6;2;7;7;0;1;0
23;Travel_Rarely;977;Research & Development;10;3;Technical Degree;4;Male;45;4;1;Research Scientist;3;Married;2073;12826;2;No;16;3;4;1;4;2;3;2;2;2;2;0
21;Travel_Rarely;337;Sales;7;1;Marketing;2;Male;31;3;1;Sales Representative;2;Single;2679;4567;1;No;13;3;2;0;1;3;3;1;0;1;0;0
33;Travel_Rarely;654;Research & Development;5;3;Life Sciences;4;Male;34;2;3;Healthcare Representative;4;Divorced;7119;21214;4;No;15;3;3;1;9;2;3;3;2;1;2;0
32;Travel_Rarely;1089;Research & Development;7;2;Life Sciences;4;Male;79;3;2;Laboratory Technician;3;Married;4883;22845;1;No;18;3;1;1;10;3;3;10;4;1;1;0
31;Travel_Rarely;1079;Sales;16;4;Marketing;1;Male;70;3;3;Sales Executive;3;Married;8161;19002;2;No;13;3;1;3;10;2;3;1;0;0;0;0
31;Travel_Frequently;1327;Research & Development;3;4;Medical;2;Male;73;3;3;Research Director;3;Divorced;13675;13523;9;No;12;3;1;1;9;3;3;2;2;2;2;0
33;Non-Travel;1038;Sales;8;1;Life Sciences;2;Female;88;2;1;Sales Representative;4;Single;2342;21437;0;No;19;3;4;0;3;2;2;2;2;2;2;0
29;Travel_Rarely;1370;Research & Development;3;1;Medical;2;Male;87;3;1;Laboratory Technician;1;Single;4723;16213;1;Yes;18;3;4;0;10;3;3;10;9;1;5;0
32;Travel_Frequently;1005;Research & Development;2;2;Life Sciences;4;Male;79;3;1;Laboratory Technician;4;Single;3068;11864;0;No;13;3;3;0;8;2;2;7;7;3;6;0
30;Travel_Rarely;1176;Research & Development;20;3;Other;3;Male;85;3;2;Manufacturing Director;1;Married;9957;9096;0;No;15;3;3;1;7;1;2;6;2;0;2;0
38;Travel_Frequently;216;Research & Development;23;3;Life Sciences;4;Male;44;2;3;Manufacturing Director;3;Single;9526;8787;0;No;21;4;2;0;10;2;3;9;7;1;8;0
37;Travel_Rarely;1373;Research & Development;2;2;Other;4;Male;92;2;1;Laboratory Technician;3;Single;2090;2396;6;Yes;15;3;2;0;7;3;3;0;0;0;0;0
54;Travel_Rarely;376;Research & Development;19;4;Medical;4;Female;95;3;2;Manufacturing Director;1;Divorced;5485;22670;9;Yes;11;3;2;2;9;4;3;5;3;1;4;0
34;Travel_Frequently;560;Research & Development;1;4;Other;4;Male;91;3;1;Research Scientist;1;Divorced;2996;20284;5;No;14;3;3;2;10;2;3;4;3;1;3;0
37;Non-Travel;1040;Research & Development;2;2;Life Sciences;3;Male;100;2;2;Healthcare Representative;4;Divorced;5163;15850;5;No;14;3;4;1;17;2;4;1;0;0;0;0
42;Travel_Rarely;544;Human Resources;2;1;Technical Degree;3;Male;52;3;1;Human Resources;3;Divorced;2696;24017;0;Yes;11;3;3;1;4;5;3;3;2;1;0;0
38;Travel_Rarely;130;Sales;2;2;Marketing;4;Male;32;3;3;Sales Executive;2;Single;7351;20619;7;No;16;3;3;0;10;2;3;1;0;0;0;1
32;Travel_Frequently;1318;Sales;10;4;Marketing;4;Male;79;3;2;Sales Executive;4;Single;4648;26075;8;No;13;3;3;0;4;2;4;0;0;0;0;0
27;Travel_Rarely;486;Research & Development;8;3;Medical;2;Female;86;4;1;Research Scientist;3;Married;3517;22490;7;No;17;3;1;0;5;0;3;3;2;0;2;0
40;Travel_Frequently;1184;Sales;2;4;Medical;2;Male;62;3;2;Sales Executive;2;Married;4327;25440;5;No;12;3;4;3;5;2;3;0;0;0;0;0
40;Travel_Frequently;1469;Research & Development;9;4;Medical;4;Male;35;3;1;Research Scientist;2;Divorced;3617;25063;8;Yes;14;3;4;1;3;2;3;1;1;0;0;0
42;Travel_Frequently;532;Research & Development;29;2;Life Sciences;1;Female;92;3;2;Research Scientist;3;Divorced;4556;12932;2;No;11;3;2;1;19;3;3;5;4;0;2;0
43;Travel_Frequently;422;Research & Development;1;3;Life Sciences;4;Female;33;3;2;Healthcare Representative;4;Married;5562;21782;4;No;13;3;2;1;12;2;2;5;2;2;2;0
36;Travel_Rarely;335;Sales;17;2;Marketing;3;Male;33;2;2;Sales Executive;2;Married;5507;16822;2;No;16;3;3;2;12;1;1;4;2;1;3;0
37;Travel_Rarely;1462;Research & Development;11;3;Medical;1;Female;94;3;1;Laboratory Technician;3;Single;3629;19106;4;No;18;3;1;0;8;6;3;3;2;0;2;0
42;Travel_Rarely;932;Research & Development;1;2;Life Sciences;4;Female;43;2;2;Manufacturing Director;4;Married;6062;4051;9;Yes;13;3;4;1;8;4;3;4;3;0;2;0
21;Travel_Rarely;1334;Research & Development;10;3;Life Sciences;3;Female;36;2;1;Laboratory Technician;1;Single;1416;17258;1;No;13;3;1;0;1;6;2;1;0;1;0;0
30;Travel_Rarely;241;Research & Development;7;3;Medical;2;Male;48;2;1;Research Scientist;2;Married;2141;5348;1;No;12;3;2;1;6;3;2;6;4;1;1;0
23;Travel_Rarely;373;Research & Development;1;2;Life Sciences;4;Male;47;3;1;Research Scientist;3;Married;1223;16901;1;No;22;4;4;1;1;2;3;1;0;0;1;0
30;Travel_Rarely;1092;Research & Development;10;3;Medical;1;Female;64;3;3;Manufacturing Director;3;Single;9667;2739;9;No;14;3;2;0;9;3;3;7;7;0;2;0
25;Travel_Rarely;180;Research & Development;2;1;Medical;1;Male;65;4;1;Research Scientist;1;Single;3424;21632;7;No;13;3;3;0;6;3;2;4;3;0;1;0
28;Travel_Rarely;1423;Research & Development;1;3;Life Sciences;1;Male;72;2;1;Research Scientist;3;Divorced;1563;12530;1;No;14;3;4;1;1;2;1;1;0;0;0;0
36;Travel_Rarely;430;Research & Development;2;4;Other;4;Female;73;3;2;Research Scientist;2;Married;6962;19573;4;Yes;22;4;4;1;15;2;3;1;0;0;0;0
29;Travel_Rarely;1010;Research & Development;1;3;Life Sciences;1;Female;97;3;1;Research Scientist;4;Divorced;3760;5598;1;No;15;3;1;3;3;5;3;3;2;1;2;0
43;Non-Travel;343;Research & Development;9;3;Life Sciences;1;Male;52;3;1;Research Scientist;3;Single;2438;24978;4;No;13;3;3;0;7;2;2;3;2;1;2;0
23;Travel_Rarely;160;Research & Development;4;1;Medical;3;Female;51;3;1;Laboratory Technician;2;Single;3295;12862;1;No;13;3;3;0;3;3;1;3;2;1;2;0
42;Travel_Rarely;1332;Research & Development;2;4;Other;1;Male;98;2;2;Healthcare Representative;4;Single;6781;17078;3;No;23;4;2;0;14;6;3;1;0;0;0;0
25;Travel_Rarely;977;Research & Development;2;1;Other;4;Male;57;3;1;Laboratory Technician;3;Divorced;3977;7298;6;Yes;19;3;3;1;7;2;2;2;2;0;2;0
32;Non-Travel;300;Research & Development;1;3;Life Sciences;4;Male;61;3;1;Laboratory Technician;4;Divorced;2314;9148;0;No;12;3;2;1;4;2;3;3;0;0;2;0
44;Travel_Rarely;1097;Research & Development;10;4;Life Sciences;3;Male;96;3;1;Research Scientist;3;Single;2936;10826;1;Yes;11;3;3;0;6;4;3;6;4;0;2;0
36;Non-Travel;217;Research & Development;18;4;Life Sciences;1;Male;78;3;2;Manufacturing Director;4;Single;7779;23238;2;No;20;4;1;0;18;0;3;11;9;0;9;0
